id,products_fromstore,products_frombrand
az-sasu-45-rue-heurtault-93300-aubervilliers,34,0
publix,34,485
fr-escalope-de-dinde-a-la-milanaise,34,0
lats,33,0
muller,33,516
il-viaggiator-goloso,33,601
polska-chata,33,0
αβ-βασιλόπουλος,32,0
denn-s,32,0
coto,32,0
groupe-epicia,32,0
wegmans,32,1299
les-nouveaux-robinson,31,0
vollcorner-biomarkt,31,0
marche-omni,31,0
le-jardin-mobile,31,0
marche-bonichoix,31,0
epiceries-valmont,31,0
les-marches-tradition,31,0
le-marche-vegetarien,31,0
jardin-du-mont,31,0
marcel-et-fils,30,0
monop,30,13
tamda,29,0
mg,29,0
7eleven,29,0
quick,29,28
pam,29,41
inter-marche,29,0
freshchoice,29,0
online,29,0
market,28,0
les-comptoirs-de-la-bio,28,0
coop-extra,28,0
supercor,28,0
wing-yip,28,0
no-frills,27,0
farm,27,0
bioplanet,27,0
restaurant,27,0
coop-pronto,27,0
carulla,27,0
bm,27,17
лента,27,0
cote-nature,27,0
coviran,27,711
kaufhof,27,0
grandfrais,27,0
abarrotes,27,0
denn-s-biomarkt,26,0
la-vie-saine,26,0
auchan-supermarche,26,0
kupsch,26,0
la-chouette-coop,26,0
eurospin-italia,26,0
intermache,26,0
extra,25,43
italmark,25,0
coccimarket,25,0
k-citymarket,25,0
distributeur,25,0
picnic,25,22
denns,25,0
sainsbury,24,61
delitraiteur,24,0
pomona,24,29
k-supermarket,24,0
sam-s,24,0
mercator,24,12
kfc,24,99
coloquinte,24,0
aurrera,24,66
supermercato,24,0
b-i1,23,0
karstadt,23,0
hell-s-kitchen-tavern,23,0
билла,23,0
myprotein,23,1422
odin,23,0
naturasi,23,113
okay,23,0
la-grande-epicerie-de-paris,23,206
cameleon,23,0
jewel-osco,23,61
tuodi,23,0
marks-and-spencer,23,432
lindt,23,2501
np,22,0
star-market,22,0
holland-at-home,21,0
masymas,21,19
albert-hein,21,52
soriana-bodega-aurrera,21,0
grande-surface,21,0
nijiya-market,21,0
giant,21,639
sams,21,0
huel-com,21,0
profi,21,14
biocop,21,231
circle-k,21,40
food-wine,21,0
little-extra,20,49
атак,20,0
matsmart,20,0
wallmart,20,0
ccas,20,0
la-perle-des-dieux,20,150
dietetica,20,0
cabesto,20,0
stokrotka,20,0
cvs-pharmacy,19,43
chili-food,19,14
erdi,19,0
reformhaus,19,0
venta-peio,19,0
pao-de-acucar,19,0
okcon-2013,19,0
tau,19,0
carre-des-halles,19,0
disco,19,0
bim,19,0
m-p-restaurants-at-cicg,19,0
пять-шагов,19,0
la-boutique-en-provence,19,0
il-gigante,18,250
adonis,18,0
vente-privee,18,0
верный,18,0
sm,18,0
виктория,18,0
mas,18,0
walmar,18,0
reaute,18,60
ap-hp,18,0
carefour-city,18,0
kiosko,18,0
брусника,17,0
aligro,17,0
galeries-lafayettes,17,0
carrefour-hyper,17,0
boutique-chancerelle,17,0
ls-proxi,17,0
bordeaux,17,43
oceanwaves,17,0
tain-kim-heng,17,0
irena,17,0
kosik-cz,17,0
md-discount,17,0
maximo,17,0
oh-marche-malin,17,0
nu3,17,151
naturgut,17,81
burger-king,17,75
whole-foods-market,17,1075
parapharmacie,17,0
superbiomarkt,17,0
brive,17,0
h-e-b,17,910
big,17,0
karls-markt-ohg,17,0
limoges,17,0
